dataset	peyronie_comparison	gene_symbol	in_peyronie_universe	ed_logFC	ed_FDR	ed_direction	peyronie_logFC	peyronie_FDR	signed_sqrt_F	rank_desc	rank_abs	rank_percentile_up	same_direction_as_ed
GSE146500	PFPC_vs_NF	IL6	TRUE	4.6866998230421	0.00358204745362855	up_in_diabetic_ED	6.19915801210716	1.35014211480628e-15	40.9329297756303	70	120	0.995681562147953	TRUE
GSE146500	PFPC_vs_NF	MT1A	TRUE	2.80556449196479	0.0215447647591949	up_in_diabetic_ED	0.725073154196239	0.10019370830666	1.91111235964825	5836	11817	0.634810364250845	TRUE
GSE146500	PFPC_vs_NF	NR4A1	TRUE	2.97628852226847	0.0220113606267881	up_in_diabetic_ED	-0.652444121358956	0.0169885280175976	-2.88750869457366	10825	10036	0.32256853173113	FALSE
GSE146500	PFPC_vs_NF	NR4A2	TRUE	3.19462318338481	0.0215447647591949	up_in_diabetic_ED	-1.27406155477303	5.11209304892391e-06	-7.38618289575731	13498	4612	0.155276004506196	FALSE
GSE146500	PFPC_vs_NF	NR4A3	TRUE	3.95583264539962	0.00358204745362855	up_in_diabetic_ED	-1.26359354832095	0.00104372597812872	-4.33053920219517	11906	7851	0.254913005382401	FALSE
GSE146500	PFPC_vs_NF	PI15	FALSE	3.6853314227566	0.00544700201581321	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_NF	PLA2G2A	FALSE	3.66087810935056	0.00800464918238329	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_NF	RGS16	TRUE	2.4128744373486	0.0488085296727281	up_in_diabetic_ED	2.62592047445266	6.58048104573876e-07	8.82225649766037	1632	3615	0.897922142946551	TRUE
GSE146500	PFPC_vs_NF	SH3BP5	TRUE	2.78686638617908	0.0133848419732999	up_in_diabetic_ED	-0.25486627355657	0.000598277745465238	-4.61834093373015	12069	7487	0.244711478282639	FALSE
GSE146500	PFPC_vs_PF	ADAMTS4	TRUE	4.19494894732916	0.00358204745362855	up_in_diabetic_ED	0.584020692010572	0.000589359816558764	6.0917294594317	186	409	0.988421579672049	TRUE
GSE146500	PFPC_vs_PF	CYR61	TRUE	2.41411122597973	0.0351823510327688	up_in_diabetic_ED	-0.889575520191466	4.85750679866605e-07	-12.3922897846699	15960	39	0.0011891350607085	FALSE
GSE146500	PFPC_vs_PF	ERAP2	TRUE	-3.63303730128362	0.0220113606267881	down_in_diabetic_ED	-0.0998557827025568	0.754563642624211	-0.684670879245376	10677	10655	0.331831267993491	TRUE
GSE146500	PFPC_vs_PF	IL6	TRUE	4.6866998230421	0.00358204745362855	up_in_diabetic_ED	-1.08966529367728	7.19904362389852e-08	-15.4753364010268	15972	10	0.000438102390787343	FALSE
GSE146500	PFPC_vs_PF	MT1A	TRUE	2.80556449196479	0.0215447647591949	up_in_diabetic_ED	0.661288038408352	0.370478352917988	1.62354146306515	2709	5346	0.830516960821129	TRUE
GSE146500	PFPC_vs_PF	NR4A1	TRUE	2.97628852226847	0.0220113606267881	up_in_diabetic_ED	-2.21892423737927	1.03642071542168e-06	-11.4663265418076	15949	56	0.0018775816748029	FALSE
GSE146500	PFPC_vs_PF	NR4A2	TRUE	3.19462318338481	0.0215447647591949	up_in_diabetic_ED	0.505548124151967	0.209793720717055	2.16578477181735	1760	3477	0.889911127800726	TRUE
GSE146500	PFPC_vs_PF	NR4A3	TRUE	3.95583264539962	0.00358204745362855	up_in_diabetic_ED	-0.598133413560328	0.334291282997536	-1.73665565711938	13574	4856	0.150519464263362	FALSE
GSE146500	PFPC_vs_PF	PI15	FALSE	3.6853314227566	0.00544700201581321	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_PF	PLA2G2A	FALSE	3.66087810935056	0.00800464918238329	up_in_diabetic_ED	NA	NA	NA	NA	NA	NA	NA
GSE146500	PFPC_vs_PF	RGS16	TRUE	2.4128744373486	0.0488085296727281	up_in_diabetic_ED	0.366384379856906	0.374318096525281	1.6113500086974	2742	5402	0.828451620978846	TRUE
GSE146500	PFPC_vs_PF	SH3BP5	TRUE	2.78686638617908	0.0133848419732999	up_in_diabetic_ED	-0.127739654318709	0.180289862993465	-2.28969334574013	14409	3180	0.0982601076480161	FALSE
