cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo
Fibroblast	non_diabetic_ED_vs_normal	RP11-318A15.8	3.68032585528735	0.00025458206922553	0.0589969567413744	6	6	6	1	6	1	1	2.98029416668439	4.83735949359832	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	ZBED3-AS1	1.63967873537318	0.000260462610891996	0.0589969567413744	6	6	6	1	6	1	1	1.50414663936947	1.78863043487626	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	RPP25	-1.63979192172594	0.000270081813577422	0.0589969567413744	6	6	6	1	6	2	0	-1.93822663583169	-1.41468997115289	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	DPP4	-5.22562069529343	0.000276720652756105	0.0589969567413744	6	6	6	1	6	1	1	-6.7838894299427	-4.44706379950292	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	NAV3	3.08190295216639	0.000284818838470985	0.0589969567413744	6	6	6	1	6	1	1	2.64465725980512	3.43379865660175	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	PLEKHA6	-1.52667486767304	0.000286627448685893	0.0589969567413744	6	6	6	1	6	1	0	-1.68420433038073	-1.27035289550003	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	KCNE5	1.9048191373178	0.000287036222298531	0.0589969567413744	6	6	6	1	6	1	0	1.78519139061646	2.05002485569587	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	DLK1	9.62739721786267	0.000292562363987484	0.0589969567413744	6	6	6	1	6	1	1	8.8333847584523	10.1459672789966	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	IGF1	1.43172943583188	0.000292562810138556	0.0589969567413744	6	6	6	1	6	2	0	1.31816778011668	1.55682926868357	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	DIRC3	2.10817938359656	0.000292944767924583	0.0589969567413744	6	6	6	1	6	1	1	1.92141572058687	2.2891510170868	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	CA4	2.53895425836466	0.000297133985688595	0.0589969567413744	6	6	6	1	6	1	1	2.18915824781627	2.92008403952957	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	NFAM1	2.59122979050402	0.000298567373474325	0.0589969567413744	6	6	6	1	6	1	0	2.42905503009768	2.86431783292196	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	PPP1R1A	2.24265911404671	0.000300671083659298	0.0589969567413744	6	6	6	1	6	1	1	1.98237825187807	2.53766625872616	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	LINC01021	-3.40625848965544	0.000303041757594757	0.0589969567413744	6	6	6	1	6	1	0	-3.93009588107083	-2.95002223133489	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	TMEM52	2.62392981359808	0.0003034743835505	0.0589969567413744	6	6	6	1	6	2	0	2.3883616663706	3.01631310223286	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	HOXC10	2.63322702866511	0.00031462674616021	0.0597069003405207	6	6	6	1	6	2	0	2.2766685931089	2.90947925594185	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	TMEM215	4.31157313432535	0.000316923720124795	0.0597069003405207	6	6	6	1	6	1	1	3.50885906107375	4.76344470996823	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	MDFI	2.25236908877442	0.00033242156060842	0.0597069003405207	6	6	6	1	6	1	1	1.96932428045055	2.72257208774344	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
