cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo	direction	program_ids	has_curated_program
Fibroblast	organic_ED_vs_normal	GREM1	-7.56152902843581	1.97183457544246e-06	0.0109537703928927	8	8	8	1.0	8	8	7	-8.45379872044379	-5.18939408973256	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED	tgfb_wnt_hippo	True
Fibroblast	organic_ED_vs_normal	C1QL4	-4.07180607306903	2.09481170259948e-06	0.0109537703928927	8	8	8	1.0	8	8	8	-4.59817095410887	-3.80521767779	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	organic_ED_vs_normal	TYMS	-2.29204708313866	4.12362856319122e-06	0.0161718403176952	8	8	8	1.0	8	8	7	-2.4483493837006	-2.05858112037704	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	organic_ED_vs_normal	HOTAIR	3.03080863472305	6.27844251374575e-06	0.0170151585304448	8	8	8	1.0	8	7	6	2.78098697655744	3.61983784436655	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	DUSP8	3.24875072828162	6.50799714302726e-06	0.0170151585304448	8	8	8	1.0	8	8	6	2.93319142454733	3.59219960129888	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	organic_ED_vs_normal	NR4A2	2.35273577224672	1.28931648400376e-05	0.0258315518679054	8	8	8	1.0	8	6	4	2.18595794437063	2.48008768470258	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	organic_ED_vs_normal	LINC00632	-2.22851432516815	1.47035209773066e-05	0.0258315518679054	8	8	8	1.0	8	7	3	-2.43644902873146	-1.98963968642867	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	organic_ED_vs_normal	NR4A1	3.09862893423336	1.7539882874933e-05	0.0258315518679054	8	8	8	1.0	8	7	5	2.8099307047271	3.66753161324806	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	organic_ED_vs_normal	LINC01021	-3.34665499699416	1.85069387170391e-05	0.0258315518679054	8	8	8	1.0	8	8	2	-3.58890942634308	-2.89501105838869	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	organic_ED_vs_normal	NCALD	3.00769415754208	1.95967693591448e-05	0.0258315518679054	8	8	8	1.0	8	6	4	2.80557955222672	3.21128021530192	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	SRF	1.68557889756612	1.97602232686214e-05	0.0258315518679054	8	8	8	1.0	8	6	4	1.55023061004578	1.77435680224781	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	organic_ED_vs_normal	BHLHE22	-2.40148842603667	2.85813175868296e-05	0.0344888560757382	8	8	8	1.0	8	7	2	-2.64981211198574	-2.05449720667652	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	down_in_ED		False
