group	names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference
0	MT-CYB	63.636986	0.94779056	0.0	0.0	0.999795207864018	0.9932457161869905
0	RPS24	63.490208	0.63795745	0.0	0.0	0.9995904157280361	0.9936616203626685
0	PECAM1	63.44541	2.1892488	0.0	0.0	0.8427196395658406	0.2990517384794543
0	FKBP1A	63.2103	1.4431869	0.0	0.0	0.9291419209502355	0.6806188654134088
0	MMRN2	62.779644	2.2147474	0.0	0.0	0.8027851730493549	0.2742971219431043
0	EGFL7	62.54919	2.014688	0.0	0.0	0.8898218308416956	0.38194975877557813
0	APOLD1	62.53309	2.3200676	0.0	0.0	0.8277698136391562	0.27070370986524706
0	RPS12	62.399097	0.6952969	0.0	0.0	0.999795207864018	0.9945100648810514
0	RPSA	62.256405	0.8304823	0.0	0.0	0.9959041572803604	0.9604724671435702
0	VIM	61.804955	0.7038663	0.0	0.0	1.0	0.9983031109632341
0	MT-ND3	61.65244	1.1145096	0.0	0.0	0.9995904157280361	0.9845949093328897
0	RPS23	61.224342	0.6076522	0.0	0.0	0.999795207864018	0.9968224920978207
0	TNFSF10	60.81697	2.0154219	0.0	0.0	0.8044235101372107	0.3631009815338546
1	HLA-DRA	72.27777	5.606738	0.0	0.0	0.9979024646040902	0.46214691056652824
1	TYROBP	72.18079	8.892961	0.0	0.0	0.9727320398531725	0.02035316869035919
1	CD74	71.773094	4.967098	0.0	0.0	0.9989512323020451	0.635703642646546
1	MS4A6A	70.43659	9.312372	0.0	0.0	0.9470372312532774	0.015629458199917574
1	AIF1	70.305176	9.25036	0.0	0.0	0.945464079706345	0.014725929683289478
1	C1QA	69.659454	9.338091	0.0	0.0	0.9381227058206607	0.03504739561867926
1	HLA-DPA1	69.53666	5.02475	0.0	0.0	0.9816465652857892	0.4252449037821387
1	FCER1G	69.37011	9.147854	0.0	0.0	0.9344520188778186	0.012253114795675745
1	MRC1	68.393295	8.147553	0.0	0.0	0.9229155742003147	0.03228925593634087
1	CTSS	67.899704	5.331355	0.0	0.0	0.9370739381227058	0.15871984275433534
1	HLA-DPB1	67.858734	4.5780416	0.0	0.0	0.9643418982695333	0.4620359509241353
1	C1QB	67.13644	9.294452	0.0	0.0	0.9040377556371264	0.021890752306375424
