comparison_level	leiden_r0_5	author_cluster	n_overlap_top100	jaccard_top100	overlap_genes_top30_display
author_7_major_clusters	21	FB	0	0.0	
author_7_major_clusters	21	PC	0	0.0	
author_7_major_clusters	21	SWC	0	0.0	
author_7_major_clusters	22	EC	30	0.17647058823529413	ABCG2,ADGRF5,APOLD1,B2M,CALCRL,CAV1,CD9,CLU,ECSCR.1,EMCN,EPAS1,ETS2,GNG11,GPM6A,HLA-B,HLA-E,HYAL2,IFI27,KLF2,LDB2,LIMCH1,PLAT,PODXL,RAMP3,SDPR,SLC9A3R2,SYNE2,THBD,TM4SF1,TSPAN7
author_7_major_clusters	22	MAC	2	0.010101010101010102	HLA-DRB5,SRGN
author_7_major_clusters	22	PC	2	0.010101010101010102	EPAS1,MT1E
author_7_major_clusters	22	SWC	2	0.010101010101010102	AP1S2,MT1E
author_7_major_clusters	22	T	2	0.010101010101010102	GADD45B,SRGN
author_7_major_clusters	22	FB	0	0.0	
author_7_major_clusters	22	SMC	0	0.0	
author_7_major_clusters	3	EC	34	0.20481927710843373	ACKR1,ADGRL4,BCAM,CALCRL,CD74,CLDN5,CRIP2,CTSC,ECSCR.1,ENG,ETS2,GIMAP1,GIMAP4,GIMAP7,GNG11,HLA-B,HLA-DRB1,HLA-E,IFI27,ITGB4,LMO2,MGST2,NPDC1,PALMD,PECAM1,PLAT,PLVAP,RAMP3,SLC9A3R2,SYNE2
author_7_major_clusters	3	MAC	7	0.03626943005181347	CD74,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,RNASE1
author_7_major_clusters	3	SMC	2	0.010101010101010102	A2M,BCAM
author_7_major_clusters	3	SWC	1	0.005025125628140704	ITGB4
author_7_major_clusters	3	T	1	0.005025125628140704	RPS19
author_7_major_clusters	3	FB	0	0.0	
author_7_major_clusters	3	PC	0	0.0	
author_7_major_clusters	4	T	58	0.4084507042253521	ACAP1,ALOX5AP,APBB1IP,ARHGDIB,ARL4C,BTG1,CCL4,CCL5,CD2,CD37,CD3D,CD3E,CD3G,CD44,CD48,CD52,CD53,CD69,CD7,CORO1A,CST7,CTSW,CXCR4,CYBA,FYB,GMFG,GPSM3,GZMA,GZMH,GZMK
author_7_major_clusters	4	MAC	11	0.0582010582010582	ALOX5AP,CYBA,FYB,HCST,ITGB2,KLF6,LAPTM5,LCP1,PTPRC,SRGN,STK17B
author_7_major_clusters	4	EC	4	0.02040816326530612	B2M,HLA-A,HLA-B,HLA-C
author_7_major_clusters	4	PC	2	0.010101010101010102	BTG1,CD44
author_7_major_clusters	4	FB	1	0.005025125628140704	S100A4
author_7_major_clusters	4	SMC	0	0.0	
author_7_major_clusters	4	SWC	0	0.0	
author_7_major_clusters	5	FB	73	0.5748031496062992	AEBP1,ALDH1A1,APOD,C1R,C1S,C3,CCDC80,CFD,CFH,COL14A1,COL1A1,COL1A2,COL3A1,COL6A1,COL6A2,COL6A3,COMP,CTSK,CXCL12,CXCL14,CYBRD1,DCN,DHRS3,DPT,EMP3,FBLN1,FBLN5,GPNMB,GPX3,GSN
author_7_major_clusters	5	MAC	2	0.010101010101010102	CST3,FTL
author_7_major_clusters	5	SWC	1	0.005025125628140704	TMEM176B
author_7_major_clusters	5	T	1	0.005025125628140704	S100A4
author_7_major_clusters	5	EC	0	0.0	
author_7_major_clusters	5	PC	0	0.0	
author_7_major_clusters	5	SMC	0	0.0	
author_7_major_clusters	6	PC	61	0.43884892086330934	ACTA2,AGT,ANGPT2,BTG1,C12orf57,C2orf40,CALD1,CAMK2N1,CD44,CLSTN2,COX4I2,CPE,EDNRA,EFHD1,EPAS1,EPS8,FAM153B,FHL1,FXYD1,GUCY1A3,GUCY1B3,HES4,HGF,IGFBP5,IGFBP7,ISYNA1,LGI4,LHFP,LMOD1,LPP
author_7_major_clusters	6	SMC	30	0.17647058823529413	ACTA2,C1QTNF1,C2orf40,CALD1,CPE,EDNRA,EFHD1,FHL1,GUCY1A3,HES4,IGFBP5,IGFBP7,LGI4,LMOD1,LPP,MAP1B,MRGPRF,MYH11,MYL9,NDUFA4L2,NOTCH3,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SYNPO2,TAGLN,TINAGL1,TPM2
author_7_major_clusters	6	FB	8	0.041666666666666664	APOE,COL14A1,CXCL12,FXYD1,MAP1B,PRRX1,RARRES2,S100A4
author_7_major_clusters	6	SWC	4	0.02040816326530612	FXYD1,LGI4,MT1E,NDRG2
author_7_major_clusters	6	T	4	0.02040816326530612	BTG1,CD44,RPS19,S100A4
author_7_major_clusters	6	EC	1	0.005025125628140704	EPAS1
author_7_major_clusters	6	MAC	1	0.005025125628140704	TGFBI
author_7_major_clusters	7	EC	57	0.3986013986013986	ABCG2,ACKR4,ADGRF5,ALDH1A2,APOLD1,ARHGAP29,CCL14,CD74,CD9,CD93,CLEC14A,CLEC3B,CLU,DNASE1L3,ECSCR.1,EFNA1,EFNB2,EGFL7,EMCN,ENG,ERG,FAM188B,FLT1,GIMAP4,GIMAP7,GNG11,GPM6A,HLA-DRB1,HYAL2,ICAM2
author_7_major_clusters	7	FB	32	0.19047619047619047	APOD,C3,CFD,CFH,CILP,COL1A1,COL1A2,COL3A1,COL6A3,CTSK,DPT,FBLN1,GAS1,GPNMB,GPX3,GSN,IGF1,IGFBP6,LRP1,LTBP4,LUM,MFAP4,MGST1,MMP2,PCOLCE,PODN,PRELP,PTN,RARRES1,SFRP2
author_7_major_clusters	7	MAC	5	0.02564102564102564	CD74,HLA-DPA1,HLA-DRA,HLA-DRB1,RNASE1
author_7_major_clusters	7	PC	0	0.0	
author_7_major_clusters	7	SMC	0	0.0	
author_7_major_clusters	7	SWC	0	0.0	
author_7_major_clusters	7	T	0	0.0	
author_7_major_clusters	8	SMC	72	0.5625	A2M,AC013461.1,ACTA2,ACTB,ACTG2,ADIRF,AOC3,BCAM,C11orf96,CALD1,CARMN,CASQ2,CHCHD10,CNN1,CPE,CRIP1,CRYAB,CSRP1,CSRP2,DSTN,EFHD1,FHL1,FILIP1,FLNA,FRZB,GPRC5C,HES4,IGFBP7,ITGA8,KCNAB1
author_7_major_clusters	8	PC	37	0.22699386503067484	ACTA2,ACTG2,C11orf96,CALD1,CARMN,CHCHD10,CNN1,CPE,CSRP2,EFHD1,FHL1,FLNA,FXYD1,HES4,IGFBP7,LMOD1,LPP,MRVI1,MYH11,MYL9,MYLK,NOTCH3,NR2F2,PDE5A,PPP1R12A,PPP1R14A,RCAN2,RGS5,RRAD,SLC7A2
author_7_major_clusters	8	EC	3	0.015228426395939087	BCAM,SNCG,TSC22D1
author_7_major_clusters	8	SWC	3	0.015228426395939087	CRYAB,FXYD1,SORBS2
author_7_major_clusters	8	FB	2	0.010101010101010102	FXYD1,SOD3
author_7_major_clusters	8	T	2	0.010101010101010102	ACTB,PFN1
author_7_major_clusters	8	MAC	0	0.0	
author_7_major_clusters	9	FB	59	0.41843971631205673	ABCA8,AKAP12,ALDH1A1,APOC1,APOD,APOE,C1R,C1S,C3,CCDC80,CFD,CFH,CILP,COL1A2,COL3A1,COL6A1,COL6A2,CTSK,CXCL12,CYR61,DCN,DPT,FBLN1,FGF7,FXYD1,GAS1,GSN,HSD11B1,IGF1,ISLR
author_7_major_clusters	9	PC	6	0.030927835051546393	CPE,FILIP1L,FXYD1,HSPB6,IGFBP5,MDK
author_7_major_clusters	9	SMC	4	0.02040816326530612	CPE,FILIP1L,HSPB6,IGFBP5
author_7_major_clusters	9	SWC	4	0.02040816326530612	ABCA8,FXYD1,MATN2,RHOB
author_7_major_clusters	9	MAC	1	0.005025125628140704	SEPP1
author_7_major_clusters	9	T	1	0.005025125628140704	S100A4
author_7_major_clusters	9	EC	0	0.0	
author_11_subclusters	0	CC EC	47	0.30718954248366015	ADGRF5,AKR1C2,APOLD1,ARL4A,B2M,CCL14,CD74,CD9,CD93,CLEC14A,CLEC3B,CLU,CRIM1,CTSC,DUSP1,ECSCR.1,EGFL7,EMCN,ENG,ESAM,FAM188B,GIMAP4,GIMAP7,GNG11,HES1,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E
author_11_subclusters	0	Vessel EC	11	0.0582010582010582	CLEC14A,EGFL7,GIMAP4,GIMAP7,GNG11,HLA-E,KCTD12,PECAM1,RNASE1,SDPR,TM4SF1
