cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Mural	organic_ED_vs_normal	RP3-525N10.2	down_in_ED	-2.17563766649261	1.75874137180235	0.0002263502938291	0.0457913504244175	3	5	2.941620785684392	0.7405497007842874	-2.2010710849001045	5	1.0	5	N1__Mural:3.082;N2__Mural:3.086;N3__Mural:2.657	DMED1__Mural:1.187;DMED2__Mural:0.293;ED1__Mural:-0.356;ED2__Mural:1.585;ED3__Mural:0.994
Mural	organic_ED_vs_normal	JPH4	down_in_ED	-2.305035524016	2.27025393664044	0.0002278520417784	0.0457913504244175	3	5	3.437995220209093	1.3292986314940782	-2.1086965887150146	5	1.0	5	N1__Mural:3.687;N2__Mural:3.607;N3__Mural:3.020	DMED1__Mural:0.625;DMED2__Mural:0.293;ED1__Mural:1.759;ED2__Mural:2.433;ED3__Mural:1.536
Mural	organic_ED_vs_normal	NRP1	down_in_ED	-0.905688892226481	6.26185392734867	0.0002283432038901	0.0457913504244175	3	5	6.727835660165728	5.843067925979641	-0.8847677341860871	5	1.0	5	N1__Mural:6.459;N2__Mural:7.098;N3__Mural:6.627	DMED1__Mural:6.029;DMED2__Mural:5.717;ED1__Mural:5.923;ED2__Mural:5.639;ED3__Mural:5.908
Mural	organic_ED_vs_normal	RALGPS2	down_in_ED	-1.6151135766592	3.22614990540163	0.0002294814184827	0.0457913504244175	3	5	4.074041600811019	2.564089994976526	-1.5099516058344928	5	1.0	5	N1__Mural:4.230;N2__Mural:4.235;N3__Mural:3.757	DMED1__Mural:2.164;DMED2__Mural:2.229;ED1__Mural:3.103;ED2__Mural:2.964;ED3__Mural:2.360
Mural	organic_ED_vs_normal	REM1	down_in_ED	-1.29109571827883	5.53750485844882	0.000232968995941	0.0457913504244175	3	5	6.143623083238341	4.928710148327722	-1.2149129349106191	5	1.0	5	N1__Mural:6.495;N2__Mural:6.094;N3__Mural:5.842	DMED1__Mural:5.202;DMED2__Mural:4.465;ED1__Mural:4.773;ED2__Mural:5.372;ED3__Mural:4.831
Mural	organic_ED_vs_normal	LCLAT1	up_in_ED	1.1733685669538	4.60467098280126	0.0002375462109839	0.0458420996978903	3	5	3.6900839369174734	4.868865137686637	1.1787812007691634	5	1.0	5	N1__Mural:3.202;N2__Mural:3.989;N3__Mural:3.880	DMED1__Mural:4.888;DMED2__Mural:4.829;ED1__Mural:5.092;ED2__Mural:4.690;ED3__Mural:4.845
Mural	organic_ED_vs_normal	CD44	down_in_ED	-1.36778124096295	7.62497414125131	0.0002514203017188	0.0476379047138343	3	5	8.19364863582048	6.947972728624022	-1.2456759071964587	5	1.0	5	N1__Mural:8.542;N2__Mural:8.586;N3__Mural:7.452	DMED1__Mural:7.038;DMED2__Mural:6.917;ED1__Mural:7.056;ED2__Mural:6.985;ED3__Mural:6.744
Mural	organic_ED_vs_normal	KCNT2	down_in_ED	-1.77460269335341	3.17638882037357	0.0002662931275823	0.0476379047138343	3	5	4.112026477159299	2.1367576676252233	-1.9752688095340756	5	1.0	5	N1__Mural:4.173;N2__Mural:4.344;N3__Mural:3.820	DMED1__Mural:2.676;DMED2__Mural:1.942;ED1__Mural:1.518;ED2__Mural:1.585;ED3__Mural:2.962
Mural	organic_ED_vs_normal	CASC15	down_in_ED	-1.35854210275601	3.50179131856396	0.0002665613811653	0.0476379047138343	3	5	4.238834718752657	2.8773977467540384	-1.3614369719986188	5	1.0	5	N1__Mural:4.286;N2__Mural:4.235;N3__Mural:4.196	DMED1__Mural:2.833;DMED2__Mural:2.354;ED1__Mural:2.814;ED2__Mural:2.964;ED3__Mural:3.423
Mural	organic_ED_vs_normal	TMEM59L	up_in_ED	1.60996422438265	4.87628042821395	0.0002671438185825	0.0476379047138343	3	5	3.609033609749725	5.187557420930313	1.5785238111805877	5	1.0	5	N1__Mural:3.082;N2__Mural:3.989;N3__Mural:3.757	DMED1__Mural:5.063;DMED2__Mural:4.503;ED1__Mural:5.738;ED2__Mural:5.096;ED3__Mural:5.537
