cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	group_summary
Fibroblast	non_diabetic_ED_vs_normal	BHLHE22	down_in_ED	-2.61829534014294	1.59720381001457	8.2044459191584e-05	0.0441806582223546	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	CBLN4	up_in_ED	4.04051796608571	1.71635291327149	8.93453436971767e-05	0.0441806582223546	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	MSI1	up_in_ED	3.76399708657817	-1.03439863378825	8.9345932748195e-05	0.0441806582223546	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	DUSP5	up_in_ED	3.56953359202299	3.37504923343726	9.33638133746861e-05	0.0441806582223546	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	SCUBE2	up_in_ED	2.78151148296737	5.5459524353696	9.42907145943318e-05	0.0441806582223546	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	HOOK1	up_in_ED	2.83199220647262	5.34452112034689	9.49317438037311e-05	0.0441806582223546	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	ENTPD2	up_in_ED	1.94525717321629	3.64368875027346	9.83451425218422e-05	0.0444230793779545	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	DAZL	up_in_ED	3.44166929104611	-1.06862226702868	0.0001024692888153	0.0447159845428638	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	SRF	up_in_ED	1.70341370713858	4.51288522314892	0.0001048167367849	0.0447159845428638	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	LINC00632	down_in_ED	-2.31004659170354	2.61203916622398	0.0001101898167417	0.0457377082573078	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	LRRC17	up_in_ED	2.14734235570434	5.93458510126221	0.0001185629233672	0.0469652215971461	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	TCEAL6	up_in_ED	2.2210894644087	2.29117533502337	0.0001270553950853	0.0469652215971461	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	CNTNAP4	down_in_ED	-2.59835585394678	1.10116473200134	0.0001283577284162	0.0469652215971461	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	ADAMTS1	up_in_ED	3.16340268606135	8.8296687838907	0.0001298172507164	0.0469652215971461	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	GNAO1	up_in_ED	2.74531369291407	2.94114532520968	0.0001305856981308	0.0469652215971461	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	IGSF21	up_in_ED	2.53046482488267	5.01260694258493	0.0001314952812005	0.0469652215971461	normal=3;non_diabetic_ED=3
Fibroblast	organic_ED_vs_normal	MECOM	down_in_ED	-3.15025822069696	1.22123235855969	1.22580751102448e-06	0.0109537703928927	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	GREM1	down_in_ED	-7.56152902843581	1.7723789613781	1.97183457544246e-06	0.0109537703928927	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	C1QL4	down_in_ED	-4.07180607306903	-0.0241507069800852	2.09481170259948e-06	0.0109537703928927	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	TYMS	down_in_ED	-2.29204708313866	2.02571871559096	4.12362856319122e-06	0.0161718403176952	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	HOTAIR	up_in_ED	3.03080863472305	2.10325500313554	6.27844251374575e-06	0.0170151585304448	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	DUSP8	up_in_ED	3.24875072828162	4.61046401686584	6.50799714302726e-06	0.0170151585304448	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	NR4A2	up_in_ED	2.35273577224672	5.4584967404427	1.28931648400376e-05	0.0258315518679054	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	LINC00632	down_in_ED	-2.22851432516815	2.36066172111654	1.47035209773066e-05	0.0258315518679054	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	NR4A1	up_in_ED	3.09862893423336	8.53881347878153	1.7539882874933e-05	0.0258315518679054	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	LINC01021	down_in_ED	-3.34665499699416	0.490843656186477	1.85069387170391e-05	0.0258315518679054	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	NCALD	up_in_ED	3.00769415754208	3.03081035589352	1.95967693591448e-05	0.0258315518679054	normal=3;organic_ED=5
Fibroblast	organic_ED_vs_normal	SRF	up_in_ED	1.68557889756612	4.66429155280007	1.97602232686214e-05	0.0258315518679054	normal=3;organic_ED=5
