cell_type	comparison	gene_symbol	direction	logFC	FDR
Smooth_muscle	diabetic_ED_vs_normal	PITX2	down	-4.14983798085922	0.164897101858843
Smooth_muscle	diabetic_ED_vs_normal	HSPB8	up	2.38261005461297	0.190866833234096
Smooth_muscle	diabetic_ED_vs_normal	IFI16	down	-1.94697126150842	0.190866833234096
Smooth_muscle	diabetic_ED_vs_normal	MT-ND3	down	-1.67601636515396	0.190866833234096
Smooth_muscle	diabetic_ED_vs_normal	MAFF	up	2.12404405635691	0.190866833234096
Smooth_muscle	organic_ED_vs_normal	PITX2	down	-3.98707987364976	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	COMP	down	-3.01923215475185	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	IFI16	down	-1.73507575007693	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	DOK5	down	-3.09347702220091	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	PRKCB	up	2.02355373517212	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	PDK4	up	2.11192998745566	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	ANGPTL4	up	2.44011735420213	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	PNCK	up	2.61846049842697	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	TIPARP	up	1.41471809477552	0.756603176180478
Smooth_muscle	organic_ED_vs_normal	KCNH2	up	1.78159221299202	0.756603176180478
T_cell	diabetic_ED_vs_normal	PCP4	up	3.53207218488555	0.0401197838214589
T_cell	diabetic_ED_vs_normal	HLA-DQA2	down	-9.01262271392592	0.0401197838214589
T_cell	diabetic_ED_vs_normal	LMNA	up	2.55702833722339	0.0401197838214589
T_cell	diabetic_ED_vs_normal	HSPB8	up	3.25128899174706	0.0401197838214589
T_cell	diabetic_ED_vs_normal	SERPINE1	up	5.32798820782328	0.0591301620071294
T_cell	diabetic_ED_vs_normal	RAMP1	up	2.94244060684672	0.0652919770168003
T_cell	diabetic_ED_vs_normal	FILIP1L	up	2.58932214788923	0.0652919770168003
T_cell	diabetic_ED_vs_normal	ERAP2	down	-3.0809707740329	0.0652919770168003
T_cell	diabetic_ED_vs_normal	CCR7	up	3.55216352289817	0.0652919770168003
T_cell	diabetic_ED_vs_normal	RASL11A	up	3.26233903410977	0.0869150637845721
T_cell	non_diabetic_ED_vs_normal	PTGDS	up	4.71520859138738	0.662392122937104
T_cell	non_diabetic_ED_vs_normal	DNASE1L3	down	-4.29657621134186	0.70737041321281
T_cell	non_diabetic_ED_vs_normal	COMP	down	-4.92543013877042	0.798651211581021
T_cell	non_diabetic_ED_vs_normal	LMO2	down	-1.8197898427997	0.800408784749839
T_cell	non_diabetic_ED_vs_normal	TNXB	down	-2.15564471875864	0.922501447877
T_cell	non_diabetic_ED_vs_normal	CD248	down	-2.05786972941983	0.989146826645382
T_cell	non_diabetic_ED_vs_normal	MAFB	down	-1.69726239437101	0.989146826645382
T_cell	non_diabetic_ED_vs_normal	CXCR6	up	1.68768381458891	0.989146826645382
T_cell	non_diabetic_ED_vs_normal	NPR1	down	-1.78455934304344	0.989146826645382
T_cell	non_diabetic_ED_vs_normal	GFI1	up	1.66240283915717	0.989146826645382
T_cell	organic_ED_vs_normal	COMP	down	-4.2759118701731	0.460118372215931
T_cell	organic_ED_vs_normal	LST1	down	-2.1171397328464	0.591315171954669
T_cell	organic_ED_vs_normal	TRIM69	down	-1.55434095270897	0.591315171954669
T_cell	organic_ED_vs_normal	PTGDS	up	4.22380631553892	0.591315171954669
T_cell	organic_ED_vs_normal	IL33	down	-1.43243300924054	0.969484807280224
T_cell	organic_ED_vs_normal	STK19	down	-1.59140298913253	0.969484807280224
T_cell	organic_ED_vs_normal	TRIB1	up	1.92026953164938	0.969484807280224
T_cell	organic_ED_vs_normal	KIAA1462	down	-1.22490912680085	0.969484807280224
T_cell	organic_ED_vs_normal	ADAMTS1	up	1.99104957766787	0.969484807280224
T_cell	organic_ED_vs_normal	NUAK1	down	-1.53019882200552	0.969484807280224
