cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Fibroblast	non_diabetic_ED_vs_normal	RGS7BP	up_in_ED	3.00798715402783	3.10145151102139	2.9346711705516e-05	0.0300471198915543	3	3	0.7977932199495431	3.8889282194245336	3.0911349994749906	3	1.0	3	N1__Fibroblast:-0.016;N2__Fibroblast:1.174;N3__Fibroblast:1.234	ED1__Fibroblast:3.094;ED2__Fibroblast:4.245;ED3__Fibroblast:4.327
Fibroblast	non_diabetic_ED_vs_normal	BRSK2	up_in_ED	2.78267414151552	1.51398879119497	3.3421290709343e-05	0.0320802614196306	3	3	-0.5001777155252873	2.312919185434048	2.8130969009593354	3	1.0	3	N1__Fibroblast:-0.701;N2__Fibroblast:-0.040;N3__Fibroblast:-0.759	ED1__Fibroblast:2.212;ED2__Fibroblast:2.720;ED3__Fibroblast:2.007
Fibroblast	non_diabetic_ED_vs_normal	COL4A6	up_in_ED	1.99045118638524	3.63205199199983	3.92047326553098e-05	0.0354180167129558	3	3	2.24634240150758	4.322896566866717	2.0765541653591373	3	1.0	3	N1__Fibroblast:1.935;N2__Fibroblast:2.108;N3__Fibroblast:2.696	ED1__Fibroblast:3.939;ED2__Fibroblast:4.641;ED3__Fibroblast:4.388
Fibroblast	non_diabetic_ED_vs_normal	EFNB2	up_in_ED	1.7773255479434	4.29641096799162	4.33327643347061e-05	0.0355098403662652	3	3	3.082144400387478	4.950608308578659	1.8684639081911816	3	1.0	3	N1__Fibroblast:2.537;N2__Fibroblast:3.240;N3__Fibroblast:3.470	ED1__Fibroblast:4.910;ED2__Fibroblast:5.115;ED3__Fibroblast:4.827
Fibroblast	non_diabetic_ED_vs_normal	HMCN2	up_in_ED	1.72457600884228	5.66147104847314	4.3930652881823e-05	0.0355098403662652	3	3	4.516641895896004	6.2839719028872265	1.7673300069912221	3	1.0	3	N1__Fibroblast:4.410;N2__Fibroblast:4.469;N3__Fibroblast:4.671	ED1__Fibroblast:5.986;ED2__Fibroblast:6.166;ED3__Fibroblast:6.700
Fibroblast	non_diabetic_ED_vs_normal	C8orf34	up_in_ED	2.62682564119304	1.11387089683451	4.72277157429762e-05	0.0362661629190315	3	3	-0.750059457431259	1.8852796978211777	2.635339155252437	3	1.0	3	N1__Fibroblast:-0.581;N2__Fibroblast:-0.910;N3__Fibroblast:-0.759	ED1__Fibroblast:1.491;ED2__Fibroblast:2.234;ED3__Fibroblast:1.930
Fibroblast	non_diabetic_ED_vs_normal	RORB	up_in_ED	2.90237329019763	3.34298728001529	5.30341400556483e-05	0.0379717519914702	3	3	1.2016240506545803	4.068543820299134	2.866919769644554	3	1.0	3	N1__Fibroblast:0.706;N2__Fibroblast:1.527;N3__Fibroblast:1.373	ED1__Fibroblast:3.851;ED2__Fibroblast:4.933;ED3__Fibroblast:3.422
Fibroblast	non_diabetic_ED_vs_normal	TYMS	down_in_ED	-2.3808556083744	2.28129515570509	5.43937064599781e-05	0.0379717519914702	3	3	2.9411447552524024	0.6660219422006819	-2.2751228130517207	3	1.0	3	N1__Fibroblast:3.197;N2__Fibroblast:2.759;N3__Fibroblast:2.867	ED1__Fibroblast:0.610;ED2__Fibroblast:0.977;ED3__Fibroblast:0.412
Fibroblast	non_diabetic_ED_vs_normal	HOTAIR	up_in_ED	3.0968399219181	1.91250693228763	6.04054288276002e-05	0.0388481637518955	3	3	-0.543925893284705	2.7591199452950765	3.3030458385797816	3	1.0	3	N1__Fibroblast:-1.318;N2__Fibroblast:0.499;N3__Fibroblast:-0.812	ED1__Fibroblast:2.859;ED2__Fibroblast:2.603;ED3__Fibroblast:2.815
Fibroblast	non_diabetic_ED_vs_normal	PDK4	up_in_ED	3.09036533633312	8.77321310938538	6.07081605707443e-05	0.0388481637518955	3	3	6.318056265456307	9.640417937108566	3.322361671652259	3	1.0	3	N1__Fibroblast:5.164;N2__Fibroblast:7.263;N3__Fibroblast:6.527	ED1__Fibroblast:9.377;ED2__Fibroblast:9.829;ED3__Fibroblast:9.715
Fibroblast	non_diabetic_ED_vs_normal	COL4A5	up_in_ED	1.59564695918892	4.88190211093059	7.04122703869094e-05	0.0422828157926761	3	3	3.8338821373449434	5.473643813541187	1.639761676196244	3	1.0	3	N1__Fibroblast:3.493;N2__Fibroblast:4.128;N3__Fibroblast:3.881	ED1__Fibroblast:5.017;ED2__Fibroblast:5.908;ED3__Fibroblast:5.497
Fibroblast	non_diabetic_ED_vs_normal	KLHL15	up_in_ED	1.9949248572695	3.66716921270931	7.1597401979194e-05	0.0422828157926761	3	3	2.2864840377739557	4.347928612501261	2.061444574727305	3	1.0	3	N1__Fibroblast:2.275;N2__Fibroblast:2.720;N3__Fibroblast:1.865	ED1__Fibroblast:4.513;ED2__Fibroblast:4.451;ED3__Fibroblast:4.079
Fibroblast	non_diabetic_ED_vs_normal	DUSP8	up_in_ED	3.15190390074915	4.27876497217141	7.4334941164361e-05	0.0422828157926761	3	3	1.8616881553006888	5.045738632137887	3.184050476837198	3	1.0	3	N1__Fibroblast:2.322;N2__Fibroblast:2.096;N3__Fibroblast:1.167	ED1__Fibroblast:5.651;ED2__Fibroblast:4.690;ED3__Fibroblast:4.796
Fibroblast	non_diabetic_ED_vs_normal	BHLHE22	down_in_ED	-2.61829534014294	1.59720381001457	8.2044459191584e-05	0.0441806582223546	3	3	2.2383010631564626	-0.2516467948959635	-2.489947858052426	3	1.0	3	N1__Fibroblast:1.786;N2__Fibroblast:2.096;N3__Fibroblast:2.833	ED1__Fibroblast:-0.579;ED2__Fibroblast:-0.178;ED3__Fibroblast:0.002
Fibroblast	non_diabetic_ED_vs_normal	CBLN4	up_in_ED	4.04051796608571	1.71635291327149	8.93453436971767e-05	0.0441806582223546	3	3	-1.42665698064886	2.4406716156601758	3.8673285963090356	3	1.0	3	N1__Fibroblast:-1.318;N2__Fibroblast:-0.814;N3__Fibroblast:-2.148	ED1__Fibroblast:1.152;ED2__Fibroblast:3.203;ED3__Fibroblast:2.966
Fibroblast	non_diabetic_ED_vs_normal	MSI1	up_in_ED	3.76399708657817	-1.03439863378825	8.9345932748195e-05	0.0441806582223546	3	3	-3.7681855267416178	-0.23027202910873526	3.5379134976328825	3	1.0	3	N1__Fibroblast:-2.903;N2__Fibroblast:-4.183;N3__Fibroblast:-4.218	ED1__Fibroblast:-0.094;ED2__Fibroblast:-0.088;ED3__Fibroblast:-0.510
Fibroblast	non_diabetic_ED_vs_normal	DUSP5	up_in_ED	3.56953359202299	3.37504923343726	9.33638133746861e-05	0.0441806582223546	3	3	0.6468501380521181	4.07689446768955	3.4300443296374326	3	1.0	3	N1__Fibroblast:0.965;N2__Fibroblast:0.802;N3__Fibroblast:0.174	ED1__Fibroblast:4.724;ED2__Fibroblast:4.546;ED3__Fibroblast:2.961
Fibroblast	non_diabetic_ED_vs_normal	SCUBE2	up_in_ED	2.78151148296737	5.5459524353696	9.42907145943318e-05	0.0441806582223546	3	3	3.4948431282551997	6.241472671430992	2.746629543175792	3	1.0	3	N1__Fibroblast:3.009;N2__Fibroblast:3.492;N3__Fibroblast:3.984	ED1__Fibroblast:5.438;ED2__Fibroblast:7.177;ED3__Fibroblast:6.110
Fibroblast	non_diabetic_ED_vs_normal	HOOK1	up_in_ED	2.83199220647262	5.34452112034689	9.49317438037311e-05	0.0441806582223546	3	3	3.274026000437027	6.0169577549738955	2.7429317545368685	3	1.0	3	N1__Fibroblast:2.960;N2__Fibroblast:3.718;N3__Fibroblast:3.144	ED1__Fibroblast:4.876;ED2__Fibroblast:6.868;ED3__Fibroblast:6.307
Fibroblast	non_diabetic_ED_vs_normal	ENTPD2	up_in_ED	1.94525717321629	3.64368875027346	9.83451425218422e-05	0.0444230793779545	3	3	2.28117788530639	4.319564862820098	2.038386977513708	3	1.0	3	N1__Fibroblast:1.852;N2__Fibroblast:2.936;N3__Fibroblast:2.056	ED1__Fibroblast:3.893;ED2__Fibroblast:4.683;ED3__Fibroblast:4.382
Fibroblast	non_diabetic_ED_vs_normal	DAZL	up_in_ED	3.44166929104611	-1.06862226702868	0.0001024692888153	0.0447159845428638	3	3	-3.5225303286862157	-0.32883585094736006	3.193694477738856	3	1.0	3	N1__Fibroblast:-2.903;N2__Fibroblast:-3.446;N3__Fibroblast:-4.218	ED1__Fibroblast:-0.579;ED2__Fibroblast:-0.274;ED3__Fibroblast:-0.133
Fibroblast	non_diabetic_ED_vs_normal	SRF	up_in_ED	1.70341370713858	4.51288522314892	0.0001048167367849	0.0447159845428638	3	3	3.3882679545832026	5.110489417023827	1.7222214624406247	3	1.0	3	N1__Fibroblast:3.247;N2__Fibroblast:3.429;N3__Fibroblast:3.489	ED1__Fibroblast:5.436;ED2__Fibroblast:5.115;ED3__Fibroblast:4.781
Fibroblast	non_diabetic_ED_vs_normal	LINC00632	down_in_ED	-2.31004659170354	2.61203916622398	0.0001101898167417	0.0457377082573078	3	3	3.2565012223193555	0.9945149665418253	-2.26198625577753	3	1.0	3	N1__Fibroblast:3.101;N2__Fibroblast:3.823;N3__Fibroblast:2.846	ED1__Fibroblast:0.610;ED2__Fibroblast:0.845;ED3__Fibroblast:1.528
Fibroblast	non_diabetic_ED_vs_normal	LRRC17	up_in_ED	2.14734235570434	5.93458510126221	0.0001185629233672	0.0469652215971461	3	3	4.392395184984168	6.635205867933846	2.2428106829496777	3	1.0	3	N1__Fibroblast:4.086;N2__Fibroblast:4.076;N3__Fibroblast:5.016	ED1__Fibroblast:6.027;ED2__Fibroblast:7.012;ED3__Fibroblast:6.867
Fibroblast	non_diabetic_ED_vs_normal	TCEAL6	up_in_ED	2.2210894644087	2.29117533502337	0.0001270553950853	0.0469652215971461	3	3	0.6486575975127307	3.0255426547830893	2.376885057270359	3	1.0	3	N1__Fibroblast:-0.181;N2__Fibroblast:0.973;N3__Fibroblast:1.153	ED1__Fibroblast:2.942;ED2__Fibroblast:3.332;ED3__Fibroblast:2.803
Fibroblast	non_diabetic_ED_vs_normal	CNTNAP4	down_in_ED	-2.59835585394678	1.10116473200134	0.0001283577284162	0.0469652215971461	3	3	1.7188943458157013	-0.6987461659094428	-2.417640511725144	3	1.0	3	N1__Fibroblast:1.004;N2__Fibroblast:2.046;N3__Fibroblast:2.107	ED1__Fibroblast:-0.699;ED2__Fibroblast:-0.377;ED3__Fibroblast:-1.020
Fibroblast	non_diabetic_ED_vs_normal	ADAMTS1	up_in_ED	3.16340268606135	8.8296687838907	0.0001298172507164	0.0469652215971461	3	3	6.2890631518888815	9.662666604894184	3.3736034530053027	3	1.0	3	N1__Fibroblast:7.092;N2__Fibroblast:6.229;N3__Fibroblast:5.546	ED1__Fibroblast:9.852;ED2__Fibroblast:9.931;ED3__Fibroblast:9.205
Fibroblast	non_diabetic_ED_vs_normal	GNAO1	up_in_ED	2.74531369291407	2.94114532520968	0.0001305856981308	0.0469652215971461	3	3	0.9604005284955899	3.632499405744668	2.672098877249078	3	1.0	3	N1__Fibroblast:1.115;N2__Fibroblast:1.127;N3__Fibroblast:0.640	ED1__Fibroblast:3.139;ED2__Fibroblast:4.577;ED3__Fibroblast:3.181
Fibroblast	non_diabetic_ED_vs_normal	IGSF21	up_in_ED	2.53046482488267	5.01260694258493	0.0001314952812005	0.0469652215971461	3	3	3.0693584317540314	5.805890734016483	2.7365323022624515	3	1.0	3	N1__Fibroblast:3.783;N2__Fibroblast:2.475;N3__Fibroblast:2.950	ED1__Fibroblast:5.603;ED2__Fibroblast:5.830;ED3__Fibroblast:5.985
Fibroblast	organic_ED_vs_normal	MECOM	down_in_ED	-3.15025822069696	1.22123235855969	1.22580751102448e-06	0.0109537703928927	3	5	2.3139271812417097	-0.8865407357990506	-3.2004679170407604	5	1.0	5	N1__Fibroblast:2.193;N2__Fibroblast:2.303;N3__Fibroblast:2.446	DMED1__Fibroblast:-0.439;DMED2__Fibroblast:-1.449;ED1__Fibroblast:-0.831;ED2__Fibroblast:-1.431;ED3__Fibroblast:-0.283
